customer_age,job_type,housing_loan,personal_loan,education,balance
35.0,self-employed,yes,no,tertiary,1126.0
42.0,management,no,no,tertiary,13044.0
47.0,blue-collar,yes,yes,primary,272.0
48.0,management,no,no,tertiary,694.0
48.0,services,no,yes,secondary,-103.0
28.0,management,yes,yes,tertiary,7445.0
45.0,entrepreneur,yes,no,secondary,2.0
59.0,admin.,no,no,primary,281.0
41.0,admin.,yes,no,unknown,354.0
25.0,services,no,no,secondary,7603.0
40.0,blue-collar,yes,no,primary,18.0
39.0,technician,yes,no,secondary,435.0
26.0,services,yes,no,secondary,36.0
58.0,management,no,yes,secondary,44.0
50.0,management,no,no,unknown,1705.0
43.0,management,yes,no,tertiary,3148.0
44.0,blue-collar,no,no,primary,1809.0
40.0,services,no,no,primary,312.0
33.0,blue-collar,yes,no,primary,24.0
32.0,management,no,no,tertiary,72.0
39.0,blue-collar,yes,no,secondary,-3.0
36.0,technician,yes,no,secondary,646.0
36.0,admin.,yes,no,tertiary,156.0
32.0,technician,yes,no,secondary,3805.0
36.0,technician,yes,no,secondary,1162.0
57.0,retired,no,no,secondary,4486.0
22.0,student,no,no,secondary,40.0
30.0,services,yes,no,secondary,584.0
28.0,admin.,no,no,tertiary,657.0
23.0,blue-collar,no,yes,secondary,450.0
26.0,blue-collar,no,yes,primary,1654.0
60.0,management,no,no,tertiary,681.0
49.0,unemployed,yes,no,primary,129.0
22.0,admin.,yes,no,tertiary,1142.0
41.0,management,yes,no,tertiary,104.0
40.0,blue-collar,yes,no,primary,-1.0
21.0,blue-collar,yes,no,secondary,76.0
55.0,retired,no,yes,secondary,4190.0
30.0,blue-collar,no,no,secondary,1029.0
51.0,management,no,no,secondary,334.0
58.0,self-employed,no,no,tertiary,-82.0
32.0,services,yes,yes,secondary,773.0
31.0,management,no,no,tertiary,370.0
34.0,management,yes,no,tertiary,375.0
53.0,blue-collar,yes,no,primary,2104.0
50.0,management,yes,no,primary,117.0
45.0,technician,yes,yes,tertiary,-5.0
47.0,blue-collar,yes,no,primary,344.0
27.0,technician,yes,no,secondary,-372.0
49.0,blue-collar,yes,no,secondary,739.0
40.0,entrepreneur,yes,no,tertiary,2064.0
60.0,retired,yes,no,secondary,76.0
28.0,technician,yes,yes,secondary,-492.0
36.0,blue-collar,no,yes,secondary,336.0
59.0,housemaid,no,yes,tertiary,95.0
30.0,blue-collar,no,no,secondary,-199.0
52.0,management,no,yes,secondary,623.0
30.0,services,yes,yes,secondary,4787.0
36.0,technician,no,no,tertiary,142.0
25.0,student,no,no,tertiary,1131.0
31.0,self-employed,no,no,secondary,0.0
37.0,technician,no,no,secondary,293.0
53.0,admin.,yes,no,secondary,868.0
35.0,management,no,no,tertiary,1065.0
47.0,housemaid,no,no,secondary,178.0
59.0,retired,no,no,primary,5505.0
59.0,blue-collar,yes,yes,secondary,774.0
41.0,services,yes,no,secondary,772.0
30.0,blue-collar,yes,no,secondary,527.0
36.0,blue-collar,yes,no,tertiary,-30.0
49.0,blue-collar,yes,no,secondary,2425.0
47.0,self-employed,no,no,secondary,1807.0
78.0,retired,no,no,primary,2635.0
45.0,services,no,yes,unknown,1226.0
33.0,blue-collar,yes,no,primary,2.0
34.0,technician,yes,yes,secondary,369.0
25.0,self-employed,no,no,tertiary,1290.0
31.0,management,yes,no,tertiary,306.0
32.0,management,no,no,secondary,1294.0
35.0,technician,no,no,tertiary,4399.0
36.0,management,no,no,tertiary,-5.0
73.0,retired,no,no,primary,1383.0
25.0,admin.,yes,no,secondary,188.0
35.0,admin.,yes,no,secondary,12.0
28.0,services,yes,no,secondary,-181.0
28.0,blue-collar,no,yes,primary,244.0
54.0,management,no,no,secondary,1148.0
26.0,blue-collar,yes,no,secondary,986.0
53.0,services,no,no,secondary,2121.0
39.0,blue-collar,yes,no,secondary,6915.0
44.0,management,no,no,secondary,-3.0
47.0,blue-collar,no,no,primary,2557.0
47.0,technician,no,yes,secondary,367.0
48.0,admin.,yes,yes,secondary,215.0
31.0,management,no,no,tertiary,3031.0
60.0,retired,no,no,tertiary,1421.0
35.0,admin.,no,no,secondary,0.0
43.0,technician,yes,no,tertiary,180.0
34.0,entrepreneur,yes,no,secondary,1038.0
28.0,blue-collar,yes,no,primary,174.0
56.0,admin.,yes,no,primary,971.0
53.0,technician,no,no,unknown,0.0
27.0,admin.,no,no,secondary,36.0
43.0,technician,yes,no,secondary,-219.0
38.0,management,yes,no,tertiary,-4.0
39.0,self-employed,yes,no,tertiary,56.0
33.0,blue-collar,yes,no,secondary,373.0
47.0,management,no,no,tertiary,263.0
27.0,admin.,yes,yes,secondary,182.0
31.0,blue-collar,yes,no,primary,37.0
65.0,retired,no,no,primary,40.0
49.0,technician,yes,no,tertiary,2953.0
31.0,technician,no,no,secondary,109.0
50.0,management,no,no,tertiary,973.0
39.0,blue-collar,yes,no,secondary,361.0
36.0,housemaid,yes,no,primary,652.0
32.0,admin.,yes,no,secondary,345.0
32.0,blue-collar,yes,no,secondary,7103.0
51.0,admin.,yes,no,secondary,788.0
46.0,unemployed,yes,no,secondary,11366.0
27.0,technician,no,no,tertiary,151.0
38.0,blue-collar,yes,no,primary,3734.0
35.0,services,yes,no,secondary,282.0
44.0,technician,no,no,tertiary,572.0
38.0,management,no,no,tertiary,158.0
32.0,blue-collar,yes,no,secondary,2641.0
42.0,technician,no,no,tertiary,693.0
52.0,technician,no,yes,secondary,477.0
83.0,retired,no,no,primary,12110.0
40.0,technician,yes,no,secondary,2710.0
31.0,technician,yes,no,secondary,28.0
50.0,entrepreneur,yes,yes,secondary,171.0
53.0,retired,no,yes,secondary,397.0
37.0,blue-collar,yes,no,primary,-3.0
44.0,blue-collar,yes,yes,secondary,116.0
61.0,retired,no,no,secondary,569.0
35.0,management,yes,no,secondary,3168.0
56.0,management,yes,no,tertiary,6527.0
25.0,blue-collar,no,no,secondary,2323.0
27.0,services,no,no,secondary,598.0
43.0,management,yes,yes,tertiary,26.0
49.0,blue-collar,yes,no,primary,3.0
49.0,management,no,yes,tertiary,62.0
25.0,blue-collar,yes,no,primary,48.0
39.0,blue-collar,yes,no,primary,416.0
27.0,services,yes,no,secondary,584.0
32.0,technician,yes,no,tertiary,1196.0
49.0,admin.,no,no,secondary,82.0
57.0,blue-collar,no,yes,secondary,294.0
41.0,technician,yes,no,tertiary,741.0
32.0,services,yes,no,secondary,3757.0
39.0,admin.,yes,yes,tertiary,1018.0
44.0,management,no,no,tertiary,1777.0
26.0,management,yes,no,tertiary,1441.0
51.0,self-employed,no,no,tertiary,6654.0
37.0,management,no,no,secondary,3.0
37.0,management,yes,no,tertiary,26.0
23.0,services,yes,no,secondary,237.0
25.0,unemployed,no,no,tertiary,485.0
50.0,blue-collar,yes,yes,primary,-642.0
57.0,management,yes,no,tertiary,3605.0
50.0,technician,yes,yes,secondary,2677.0
58.0,retired,yes,yes,tertiary,2581.0
39.0,housemaid,no,no,primary,580.0
53.0,housemaid,no,no,tertiary,1611.0
42.0,services,yes,no,secondary,2441.0
35.0,admin.,no,no,secondary,243.0
54.0,management,no,yes,primary,-345.0
48.0,technician,yes,yes,secondary,-285.0
42.0,technician,yes,no,secondary,8940.0
36.0,technician,no,no,secondary,1789.0
50.0,entrepreneur,yes,yes,primary,282.0
53.0,blue-collar,no,no,secondary,69.0
26.0,management,no,no,tertiary,961.0
33.0,admin.,no,no,secondary,-2.0
36.0,self-employed,no,no,tertiary,1757.0
45.0,management,yes,no,tertiary,106.0
46.0,blue-collar,yes,no,primary,977.0
51.0,admin.,no,yes,secondary,7.0
35.0,blue-collar,yes,no,secondary,-3.0
46.0,technician,no,no,secondary,-2.0
34.0,blue-collar,yes,no,secondary,1616.0
45.0,blue-collar,yes,no,secondary,619.0
48.0,management,yes,yes,tertiary,314.0
34.0,blue-collar,yes,no,secondary,0.0
32.0,blue-collar,yes,no,secondary,-74.0
33.0,services,no,no,secondary,3.0
54.0,admin.,no,no,secondary,1811.0
38.0,technician,yes,no,secondary,-474.0
36.0,blue-collar,yes,no,secondary,1835.0
26.0,admin.,yes,no,secondary,298.0
29.0,services,no,yes,primary,-92.0
50.0,services,yes,no,secondary,1498.0
42.0,technician,yes,no,primary,167.0
48.0,admin.,yes,yes,secondary,-217.0
47.0,unemployed,yes,no,secondary,12494.0
54.0,blue-collar,no,no,secondary,1622.0
25.0,technician,yes,no,tertiary,384.0
50.0,housemaid,no,no,primary,3981.0
46.0,blue-collar,yes,no,primary,806.0
37.0,management,yes,no,tertiary,820.0
33.0,management,no,no,tertiary,2649.0
42.0,blue-collar,yes,no,primary,785.0
18.0,student,no,no,secondary,292.0
53.0,blue-collar,yes,no,secondary,5376.0
38.0,management,no,no,tertiary,1730.0
48.0,admin.,yes,yes,secondary,-362.0
48.0,management,no,no,tertiary,7634.0
47.0,technician,no,yes,secondary,443.0
82.0,retired,no,no,secondary,8303.0
58.0,management,no,no,unknown,-3.0
28.0,unemployed,no,no,primary,3839.0
42.0,management,no,no,tertiary,4.0
50.0,technician,no,yes,secondary,137.0
46.0,technician,yes,no,secondary,573.0
29.0,technician,yes,no,secondary,176.0
49.0,unemployed,no,no,tertiary,782.0
37.0,blue-collar,yes,no,unknown,2955.0
43.0,entrepreneur,yes,yes,tertiary,1065.0
46.0,entrepreneur,no,yes,tertiary,94.0
